id,paese,campionato,casa,ospite,ht,segnale_minuto,segnale_risultato,segnale_totale,segnale_scarto,segnale_stato,ft,gol_dopo,altro_gol,casa_dopo,ospite_dopo,minuti_residui_90
1,Argentina,Argentina Reserve League,Defensa y Justicia Reserves,CA Independiente Reserves,0-3,65,0-3,3,3,Vantaggio ospite,1-3,1,SI,1,0,25
2,Bangladesh,Bangladesh Premier League,Abahani Limited,Sheikh Jamal,2-0,61,3-1,4,2,Vantaggio casa,4-1,1,SI,1,0,29
3,Brazil,Campeonato Brasileiro Serie B,Coritiba,Botafogo SP,2-2,48,2-2,4,0,Pareggio,3-2,1,SI,1,0,42
4,Ukraine,Ukraine Reserve League,PFC Oleksandria Reserves,Shakhtar Donetsk Reserves,1-1,53,1-1,2,0,Pareggio,1-2,1,SI,0,1,37
5,Mondo (amichevoli),World Club Friendlies,Al Wasl SC,Kayserispor,1-1,63,1-2,3,1,Vantaggio ospite,1-3,1,SI,0,1,27
6,Germany,Germany 3.Liga,KFC Uerdingen 05,Unterhaching,2-2,59,2-2,4,0,Pareggio,2-2,0,NO,0,0,31
7,Elite (amichevoli),Elite Club Friendlies,St Gallen,Borussia Dortmund,1-3,61,1-3,4,2,Vantaggio ospite,1-4,1,SI,0,1,29
8,Elite (amichevoli),Elite Club Friendlies,Bayern Munich,Fenerbahce,5-0,65,6-1,7,5,Vantaggio casa,6-1,0,NO,0,0,25
9,Europa (amichevoli),Europe Friendlies,Lebrijana,Atletico Sanluqueno,1-0,39,1-0,1,1,Vantaggio casa,2-2,3,SI,1,2,51
10,Iceland,Iceland 1 Deild,Throttur Reykjavik,Haukar,4-2,49,4-2,6,2,Vantaggio casa,4-2,0,NO,0,0,41
11,Brazil,Brazil Serie B,Bragantino,Cuiaba,2-1,46,2-1,3,1,Vantaggio casa,2-2,1,SI,0,1,44
12,Europa (amichevoli),Europe Friendlies,Leganes B,Toledo,2-0,64,3-1,4,2,Vantaggio casa,3-1,0,NO,0,0,26
13,Elite (amichevoli),Elite Club Friendlies,Real Madrid,Fenerbahce,2-2,64,4-3,7,1,Vantaggio casa,5-3,1,SI,1,0,26
14,Germany,Germany 3.Liga,Magdeburg,Waldhof Mannheim,1-1,64,1-1,2,0,Pareggio,1-1,0,NO,0,0,26
15,Germany,Germany 3.Liga,Chemnitzer,SV Meppen,1-0,52,1-1,2,0,Pareggio,2-4,4,SI,1,3,38
16,Brazil,Brazil U20 League,Vasco Da Gama U20,Atletico Paranaense U20,2-1,57,2-2,4,0,Pareggio,5-2,3,SI,3,0,33
17,Finland,Finland Kolmonen,VPV Pallo-Veikot,KaIK,1-3,62,2-4,6,2,Vantaggio ospite,3-6,3,SI,1,2,28
18,Australia,Australia Victoria U20 League,Dandenong City U20,Bentleigh Greens U20,1-0,61,1-0,1,1,Vantaggio casa,1-2,2,SI,0,2,29
19,Russia,Russia U20 League,Spartak Moscow U20,Dinamo Moscow U20,0-1,58,0-1,1,1,Vantaggio ospite,0-4,3,SI,0,3,32
20,Argentina,Argentina Reserve League,Huracan Reserves,Colon Reserves,2-0,65,4-0,4,4,Vantaggio casa,5-2,3,SI,1,2,25
21,Lithuania,Lithuania 1 Lyga,FC Kupiškis,Nevezis,0-2,61,0-2,2,2,Vantaggio ospite,0-3,1,SI,0,1,29
22,Finland,Finland Kolmonen,Edustus IPS,PeKa,0-0,62,1-1,2,0,Pareggio,1-2,1,SI,0,1,28
23,Germany,Germany Oberliga Bayern South,TSV Schwabmünchen,TSV Dachau 1865,3-0,64,4-0,4,4,Vantaggio casa,6-1,3,SI,2,1,26
24,Germany,Germany Regionalliga Bayern,Viktoria Aschaffenburg,Greuther Furth II,0-2,51,0-2,2,2,Vantaggio ospite,0-2,0,NO,0,0,39
25,Europa (amichevoli),Europe Friendlies,Las Palmas,Almeria,1-1,60,1-1,2,0,Pareggio,1-1,0,NO,0,0,30
26,Romania,Romania Liga I,Dinamo Bucuresti,FC Academica Clinceni,0-0,65,2-0,2,2,Vantaggio casa,4-2,4,SI,2,2,25
27,Austria,Austria 2. Liga,Grazer AK,FC Blau Weiss Linz,2-0,53,2-0,2,2,Vantaggio casa,2-0,0,NO,0,0,37
28,Elite (amichevoli),Elite Club Friendlies,Bournemouth,Lazio,2-1,51,2-2,4,0,Pareggio,3-4,3,SI,1,2,39
29,Asia (nazionali),West Asian Championship,Lebanon,Syria,0-0,52,0-1,1,1,Vantaggio ospite,2-1,2,SI,2,0,38
30,Mexico,Mexico Liga de Ascenso Apertura,Potros UAEM,Correcaminos,3-0,62,3-0,3,3,Vantaggio casa,4-0,1,SI,1,0,28
31,USA,USA USL Championship,Atlanta United II,Loudoun United FC,2-2,58,2-2,4,0,Pareggio,4-2,2,SI,2,0,32
32,Australia,Australia SA Premier League Reserves,Adelaide Blue Eagles Reserves,Metrostars Reserves,1-1,61,1-2,3,1,Vantaggio ospite,2-5,4,SI,1,3,29
33,Mongolia,Mongolia Premier League,Khangarid Klub,Khaan Khuns,4-1,61,4-1,5,3,Vantaggio casa,6-3,4,SI,2,2,29
34,Australia,Australia Victoria U20 League,Dandenong Thunder U20,Pascoe Vale U20,0-2,64,1-2,3,1,Vantaggio ospite,1-4,2,SI,0,2,26
35,Australia,Australia NPL Queensland,Brisbane Roar FC U21,Brisbane Strikers,0-3,45,0-3,3,3,Vantaggio ospite,1-4,2,SI,1,1,45
36,Russia,Russia U20 League,Zenit St Petersburg U20,Krasnodar U20,0-1,61,0-2,2,2,Vantaggio ospite,0-2,0,NO,0,0,29
37,Australia,Australia New South Wales Premier League,Sydney FC U21,Sutherland Sharks,0-3,58,0-3,3,3,Vantaggio ospite,0-4,1,SI,0,1,32
38,Estonia,Estonia Esiliiga B,Vandra JK Vaprus,Tabasalu FC Charma,0-0,52,2-0,2,2,Vantaggio casa,4-1,3,SI,2,1,38
39,Denmark,Denmark Series Group 2,Greve,GVI,0-1,62,0-1,1,1,Vantaggio ospite,2-4,5,SI,2,3,28
40,Germany,Germany Regionalliga South West,SSV Ulm 1846,Elversberg,0-0,65,0-1,1,1,Vantaggio ospite,1-2,2,SI,1,1,25
41,Europa (amichevoli),Europe Friendlies,HHC Hardenberg,FC Twente Reserves,3-0,61,3-1,4,2,Vantaggio casa,3-2,1,SI,0,1,29
42,Uzbekistan,Uzbekistan Cup,FC Bunyodkor,Qizilqum Zarafshon,1-1,65,3-0,3,3,Vantaggio casa,3-1,1,SI,0,1,25
43,Malawi,Malawi Super League,Mzuzu University,Mlatho Mponela FC,1-0,57,1-0,1,1,Vantaggio casa,1-0,0,NO,0,0,33
44,Norway,Norway Division 3 Group 4,Stord,Lysekloster,1-1,57,1-1,2,0,Pareggio,3-4,5,SI,2,3,33
45,Finland,Finland Kakkonen Group A,Sudet,Kiffen,1-3,61,1-3,4,2,Vantaggio ospite,1-4,1,SI,0,1,29
46,England,England National League,Harrogate Town,Solihull Moors,0-1,58,0-1,1,1,Vantaggio ospite,2-2,3,SI,2,1,32
47,Switzerland,Switzerland Challenge League,Winterthur,Lausanne Sports,0-2,47,0-3,3,3,Vantaggio ospite,0-6,3,SI,0,3,43
48,Estonia,Estonia Esiliiga,FC Flora Tallinn II,Tallinna JK Legion,2-1,54,3-1,4,2,Vantaggio casa,4-3,3,SI,1,2,36
49,Slovakia,Slovakia Super Liga,MSK Zilina,AS Trencin,1-0,56,1-0,1,1,Vantaggio casa,2-1,2,SI,1,1,34
50,Elite (amichevoli),Elite Club Friendlies,Atletico San Luis,Atletico Madrid,1-0,64,1-0,1,1,Vantaggio casa,1-2,2,SI,0,2,26
51,Bulgaria,Bulgaria First League,Beroe,Dunav Ruse,2-0,54,2-0,2,2,Vantaggio casa,2-0,0,NO,0,0,36
52,Cambodia,Cambodia Premier League,Asia Euro University,Phnom Penh Crown,2-4,51,2-4,6,2,Vantaggio ospite,3-4,1,SI,1,0,39
53,Europa (amichevoli),Europe Friendlies,TSV Havelse U19,SV Rodinghausen U19,1-0,65,4-1,5,3,Vantaggio casa,4-1,0,NO,0,0,25
54,Vietnam,Vietnam V-League 2,Binh Dinh,CLB Bong da Hue,1-1,48,1-1,2,0,Pareggio,3-2,3,SI,2,1,42
55,Japan,Japan J2-League,V-Varen Nagasaki,FC Gifu,1-1,58,1-3,4,2,Vantaggio ospite,1-3,0,NO,0,0,32
56,China,China Super League Reserves,Shanghai SIPG Reserves,Tianjin Tianhai Reserves,1-1,65,1-1,2,0,Pareggio,3-1,2,SI,2,0,25
57,Denmark,Denmark Superligaen,Randers FC,FC Nordsjaelland,3-0,55,3-0,3,3,Vantaggio casa,3-1,1,SI,0,1,35
58,Japan,Japan J2-League,Ehime FC,Fagiano Okayama,2-0,57,2-0,2,2,Vantaggio casa,2-0,0,NO,0,0,33
59,Japan,Japan J3-League,Thespa Kusatsu,YSCC,1-1,63,3-2,5,1,Vantaggio casa,3-2,0,NO,0,0,27
60,South Korea,South Korea K-League 1,Suwon Bluewings,Pohang Steelers,0-1,55,0-1,1,1,Vantaggio ospite,0-2,1,SI,0,1,35
61,China,China Division 1,Shijiazhuang Ever Bright,Beijing Sport University FC,0-3,65,0-5,5,5,Vantaggio ospite,0-5,0,NO,0,0,25
62,Germany,Germany Regionalliga North,VfB Oldenburg,Wolfsburg II,0-1,60,0-1,1,1,Vantaggio ospite,0-3,2,SI,0,2,30
63,Brazil,Brazil Paulista Serie B,AD Guarulhos,Marilia,1-1,49,2-1,3,1,Vantaggio casa,2-2,1,SI,0,1,41
64,Germany,Germany Oberliga Rheinland-Pfalz/Saar,Hassia Bingen,SV Rochling Volklingen,0-0,55,0-1,1,1,Vantaggio ospite,0-1,0,NO,0,0,35
65,Germany,Germany Bundesliga II,Erzgebirge Aue,Wehen SV,2-1,56,2-1,3,1,Vantaggio casa,3-2,2,SI,1,1,34
66,Switzerland,Switzerland Challenge League,Stade Lausanne-Ouchy,FC Vaduz,2-3,65,3-3,6,0,Pareggio,3-3,0,NO,0,0,25
67,Denmark,Denmark Superligaen,Brondby,AC Horsens,1-1,60,1-2,3,1,Vantaggio ospite,1-2,0,NO,0,0,30
68,Brazil,Brazil Campeonato Carioca B2,Juventus RJ,Rio Sao Paulo,0-1,45,0-1,1,1,Vantaggio ospite,0-3,2,SI,0,2,45
69,Mondo (amichevoli),World Club Friendlies,Bugesera,Gasogi Utd,1-0,65,1-0,1,1,Vantaggio casa,1-0,0,NO,0,0,25
70,Netherlands,Holland Eredivisie,ADO Den Haag,FC Utrecht,2-2,63,2-4,6,2,Vantaggio ospite,2-4,0,NO,0,0,27
71,Lithuania,Lithuania 1 Lyga,Lietava Jonava,FK Vilnius,0-1,65,0-2,2,2,Vantaggio ospite,0-3,1,SI,0,1,25
72,Romania,Romania Liga I,AFC Hermannstadt,CS U Craiova,0-1,55,2-1,3,1,Vantaggio casa,2-1,0,NO,0,0,35
73,Austria,Austria 2. Liga,Austria Klagenfurt,FC Liefering,1-2,52,2-3,5,1,Vantaggio ospite,4-4,3,SI,2,1,38
74,Lithuania,Lithuania A Lyga,Atlantas Klaipeda,FK Zalgiris Vilnius,1-1,49,1-1,2,0,Pareggio,1-3,2,SI,0,2,41
75,Estonia,Estonia Esiliiga,Tartu JK Welco,FC Levadia Tallinn U21,0-1,65,0-1,1,1,Vantaggio ospite,0-2,1,SI,0,1,25
76,Hungary,Hungary NB I,MOL Vidi FC,Kaposvari Rakoczi,3-2,65,4-2,6,2,Vantaggio casa,4-2,0,NO,0,0,25
77,Chile,Chile Primera Division,Universidad de Concepcion,Universidad Catolica,0-1,47,0-1,1,1,Vantaggio ospite,0-3,2,SI,0,2,43
78,Hungary,Hungary NB II,Csakvari Tk,MTK Budapest,3-1,46,3-1,4,2,Vantaggio casa,3-2,1,SI,0,1,44
79,Guatemala,Guatemala Primera Division,Suchitepequez,Deportivo Reu,2-0,59,2-1,3,1,Vantaggio casa,2-1,0,NO,0,0,31
80,Croatia,Croatia 1.HNL,NK Osijek,Inter Zapresic,0-1,65,0-1,1,1,Vantaggio ospite,3-1,3,SI,3,0,25
81,Brazil,Brazil Campeonato Carioca B2,Queimados RJ,Mageense FC,2-0,55,3-0,3,3,Vantaggio casa,4-3,4,SI,1,3,35
82,Bolivia,Bolivia Clausura,The Strongest,Nacional Potosi,1-1,64,1-2,3,1,Vantaggio ospite,3-2,2,SI,2,0,26
83,Guatemala,Guatemala Primera Division,CD Sansare,CD Achuapa,1-0,57,1-0,1,1,Vantaggio casa,1-0,0,NO,0,0,33
84,Paraguay,Paraguay Division Profesional,Cerro Porteno,Guarani Asuncion,0-0,64,1-1,2,0,Pareggio,2-2,2,SI,1,1,26
85,Bolivia,Bolivia Clausura,Blooming,Oriente Petrolero,0-0,65,1-0,1,1,Vantaggio casa,2-1,2,SI,1,1,25
86,USA,USA MLS,DC United,Philadelphia Union,0-2,55,1-3,4,2,Vantaggio ospite,1-5,2,SI,0,2,35
87,Norway,Norway Division 3 Group 6,Lillestrøm 2,Ullensaker/Kisa 2,6-0,65,8-0,8,8,Vantaggio casa,8-0,0,NO,0,0,25
